sample_id,timestamp,sensor_thumb,sensor_index,sensor_middle,sensor_ring,sensor_pinky,sensor_accel_x,sensor_accel_y,sensor_accel_z,sensor_gyro_x,sensor_gyro_y,sensor_z,label
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,1,0,0,0,0,0,-7.30,1.23,9.51,0.03,-0.00,0.00,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,2,0,0,0,0,0,-7.29,1.20,9.46,0.03,-0.01,0.01,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,3,0,0,0,0,0,-7.28,1.17,9.41,0.03,-0.01,0.01,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,4,0,0,0,0,0,-7.28,1.15,9.36,0.03,-0.02,0.01,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,5,0,0,0,0,0,-7.28,1.12,9.31,0.03,-0.02,0.01,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,6,0,0,0,0,0,-7.28,1.09,9.28,0.04,-0.02,0.01,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,7,0,0,0,0,0,-7.28,1.05,9.24,0.04,-0.02,0.01,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,8,0,0,0,0,0,-7.28,1.02,9.19,0.03,-0.02,0.01,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,9,0,0,0,0,0,-7.27,1.00,9.14,0.03,-0.02,0.01,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,10,0,0,0,0,0,-7.27,1.01,9.16,0.02,-0.02,0.01,5
2d5f20d8-114c-41ec-bf6a-028db25441a5_15,11,0,0,0,0,0,-7.28,1.01,9.19,0.02,-0.02,0.01,5
